Time,Effective Wavelength,flux
6099.423699999999,7980.0,2.925711332241778e-16
6099.423699999999,12200.0,1.0767302611755007e-16
6099.423699999999,16300.0,3.1780097387919217e-16
6099.423699999999,21900.0,9.2046317263565e-16
6100.423699999999,2120.0,1.872874937394256e-15
6100.423699999999,2310.0,1.5537113371184449e-15
6100.423699999999,2910.0,9.884797353497433e-16
6100.423699999999,3663.0,7.921867987653959e-16
6100.423699999999,4361.0,8.567904618489036e-16
6100.423699999999,5448.0,5.648522154131036e-16
6100.423699999999,6407.0,2.6228153276755905e-16
6100.423699999999,7980.0,2.8954666058063165e-16
6100.423699999999,12200.0,1.075513434918959e-16
6100.423699999999,16300.0,3.1516566164989084e-16
6100.423699999999,21900.0,9.153110584926029e-16
6101.423699999999,2120.0,1.8779542778775608e-15
6101.423699999999,2310.0,1.5585409364845231e-15
6101.423699999999,2910.0,9.925517923975248e-16
6101.423699999999,3663.0,7.910713377036478e-16
6101.423699999999,4361.0,8.347660906516023e-16
6101.423699999999,5448.0,5.517636152513581e-16
6101.423699999999,6407.0,2.572108492006218e-16
6101.423699999999,7980.0,2.8679572853637585e-16
6101.423699999999,12200.0,1.074143426235762e-16
6101.423699999999,16300.0,3.1256683517939767e-16
6101.423699999999,21900.0,9.102046107997267e-16
6102.423699999999,2120.0,1.882922826759105e-15
6102.423699999999,2310.0,1.5632394763271297e-15
6102.423699999999,2910.0,9.963894042288355e-16
6102.423699999999,3663.0,7.896311120017602e-16
6102.423699999999,4361.0,8.137845684747966e-16
6102.423699999999,5448.0,5.392747958816344e-16
6102.423699999999,6407.0,2.5186851291742137e-16
6102.423699999999,7980.0,2.843213507767251e-16
6102.423699999999,12200.0,1.072625433663184e-16
6102.423699999999,16300.0,3.100038587482174e-16
6102.423699999999,21900.0,9.051434345038952e-16
6103.423699999999,2120.0,1.8877764323230943e-15
6103.423699999999,2310.0,1.5678033388300232e-15
6103.423699999999,2910.0,9.999941095977558e-16
6103.423699999999,3663.0,7.878951705070194e-16
6103.423699999999,4361.0,7.936547766724788e-16
6103.423699999999,5448.0,5.273232390101103e-16
6103.423699999999,6407.0,2.462181263371153e-16
6103.423699999999,7980.0,2.821404779823535e-16
6103.423699999999,12200.0,1.070964470084221e-16
6103.423699999999,16300.0,3.0747610885359477e-16
6103.423699999999,21900.0,9.001271378970136e-16
6104.423699999999,2120.0,1.8925112781241805e-15
6104.423699999999,2310.0,1.5722293026705748e-15
6104.423699999999,2910.0,1.0033680318077613e-15
6104.423699999999,3663.0,7.858912844255717e-16
6104.423699999999,4361.0,7.741818813082216e-16
6104.423699999999,5448.0,5.158477079734371e-16
6104.423699999999,6407.0,2.4019415918289216e-16
6104.423699999999,7980.0,2.8029068192928156e-16
6104.423699999999,12200.0,1.0691653726047828e-16
6104.423699999999,16300.0,3.0498297400472835e-16
6104.423699999999,21900.0,8.951553325957119e-16
6105.423699999999,2120.0,1.897123879473163e-15
6105.423699999999,2310.0,1.5765145339176562e-15
6105.423699999999,2910.0,1.006513822543019e-15
6105.423699999999,3663.0,7.83645780144044e-16
6105.423699999999,4361.0,7.551327727725332e-16
6105.423699999999,5448.0,5.047795946199642e-16
6105.423699999999,6407.0,2.336750177687182e-16
6105.423699999999,7980.0,2.788469361651781e-16
6105.423699999999,12200.0,1.067232811671096e-16
6105.423699999999,16300.0,3.02523854522493e-16
6105.423699999999,21900.0,8.902276335243048e-16
6106.423699999999,2120.0,1.9016110788446556e-15
6106.423699999999,2310.0,1.580656575798094e-15
6106.423699999999,2910.0,1.009434607714205e-15
6106.423699999999,3663.0,7.811834098277094e-16
6106.423699999999,4361.0,7.361536783018745e-16
6106.423699999999,5448.0,4.940230706064093e-16
6106.423699999999,6407.0,2.264088185468659e-16
6106.423699999999,7980.0,2.779690931939607e-16
6106.423699999999,12200.0,1.0651712995208784e-16
6106.423699999999,16300.0,3.000981623401752e-16
6106.423699999999,21900.0,8.85343658900047e-16
6107.423699999999,2120.0,1.905970040328058e-15
6107.423699999999,2310.0,1.5846533374903404e-15
6107.423699999999,2910.0,1.012133935536794e-15
6107.423699999999,3663.0,7.785272603898091e-16
6107.423699999999,4361.0,7.164643580806856e-16
6107.423699999999,5448.0,4.833823615450225e-16
6107.423699999999,6407.0,2.1772611382040182e-16
6107.423699999999,7980.0,2.780874659398468e-16
6107.423699999999,12200.0,1.0629851980173288e-16
6107.423699999999,16300.0,2.977053208068218e-16
6107.423699999999,21900.0,8.805030302134333e-16
6108.423699999999,2120.0,1.91019824318074e-15
6108.423699999999,2310.0,1.588503082070523e-15
6108.423699999999,2910.0,1.014615726992738e-15
6108.423699999999,3663.0,7.756987000740148e-16
6108.423699999999,4361.0,6.913869986418342e-16
6108.423699999999,5448.0,4.717376472900008e-16
6108.423699999999,6407.0,2.0326905371409243e-16
6108.423699999999,7980.0,2.8203717970635793e-16
6108.423699999999,12200.0,1.0606787259289265e-16
6108.423699999999,16300.0,2.9534476449345754e-16
6108.423699999999,21900.0,8.757053722096373e-16
6109.423699999999,2120.0,1.9142934746034396e-15
6109.423699999999,2310.0,1.5922044137593627e-15
6109.423699999999,2910.0,1.0168842288342256e-15
6109.423699999999,3663.0,7.727173607461664e-16
6109.423699999999,4361.0,6.895347150324813e-16
6109.423699999999,5448.0,4.658216303672417e-16
6109.423699999999,6407.0,2.107496495995339e-16
6109.423699999999,7980.0,2.726838577340991e-16
6109.423699999999,12200.0,1.0582559656934555e-16
6109.423699999999,16300.0,2.930159390021521e-16
6109.423699999999,21900.0,8.709503128731078e-16
6110.423699999999,2120.0,1.9182538218084246e-15
6110.423699999999,2310.0,1.5957562645853834e-15
6110.423699999999,2910.0,1.0189439692099158e-15
6110.423699999999,3663.0,7.696011530316768e-16
6110.423699999999,4361.0,6.839538330449393e-16
6110.423699999999,5448.0,4.592729560608201e-16
6110.423699999999,6407.0,2.1430566447868338e-16
6110.423699999999,7980.0,2.660262971065743e-16
6110.423699999999,12200.0,1.0557208697286408e-16
6110.423699999999,16300.0,2.9071830077499744e-16
6110.423699999999,21900.0,8.662374834084448e-16
6111.423699999999,2120.0,1.922077663456104e-15
6111.423699999999,2310.0,1.5991578805945965e-15
6111.423699999999,2910.0,1.020799715994345e-15
6111.423699999999,3663.0,7.663663106081996e-16
6111.423699999999,4361.0,6.768866468798374e-16
6111.423699999999,5448.0,4.526217904924883e-16
6111.423699999999,6407.0,2.1596990424774109e-16
